,CARD,DECK,BALLOT,FORM,S63F.Q1,S63F.Q2,S63F.Q3,S63F.Q4,S63F.Q5,S63F.Q6.x,S63F.Q8,S63F.Q9,S63F.Q10,S63F.Q11,S63F.Q12,S63F.Q13,S63F.Q14,S63F.Q15,S63F.Q16,S63F.Q17,S63F.Q18,S63F.Q19,S63F.Q20,S63F.Q21,S63F.Q22,S63F.Q23,S63F.Q24,S63F.Q25,S63F.Q26,S63F.Q27,S63F.Q28,S63F.Q29,S63F.Q30,S63F.Q31,S63F.Q32,S63F.Q33,S63F.Q34,S63F.Q35,S63F.Q36,S63F.Q37,S63F.Q38,S63F.Q39,S63F.Q40,S63F.Q41,S63F.Q42,S63F.Q43,S63F.Q44,S63F.Q45,S63F.Q46,S63F.Q47,S63F.Q48,S63F.Q49,S63F.Q50,S63F.Q51A,S63F.Q51B.n,S63F.Q52,S63F.Q53,S63F.Q54,S63F.Q55,S63F.Q56A,S63F.Q56B.n,S63F.Q57A,S63F.Q57B.n,S63F.Q58,S63F.Q59,S63F.Q60,S63F.Q61,S63F.Q62,S63F.Q63,S63F.Q64,CARD..1,DECK..1,BALLOT..1,FORM..1,S63F.Q65,S63F.Q66,S63F.Q67,S63F.Q68,S63F.Q69,S63F.Q70,S63F.Q71,S63F.Q72A,S63F.Q72B.n,S63F.Q73A,S63F.Q73B.n,S63F.Q74,S63F.Q75,S63F.Q76,S63F.Q77,S63F.Q78,S63F.Q79,S63F.Q80,S63F.Q81,S63F.Q82,S63F.Q83,S63F.Q84,S63F.Q85,S63F.Q86,S63F.Q87,S63F.Q88,S63F.Q89,S63F.Q90,S63F.Q91,S63F.Q92,S63F.Q93,S63F.Q94,S63F.Q95,S63F.Q96,S63F.Q97,S63F.Q98,S63F.Q99,S63F.Q100,S63F.Q101.n,S63F.V102,S63F.V103,S63F.V104,S63F.V105,S63F.V106,S63F.V107,S63F.V108,S63F.V109,S63F.V110,S63F.V111,S63F.V112,S63F.V113,S63F.V114,S63F.V115,S63F.V116,S63F.V117,S63F.V118,S63F.V119,S63F.V120
10,1.0,63.0,11.0,6.0,5.0,8.0,6.0,2.0,4.0,1.0,5.0,3.0,2.0,6.0,3.0,2.0,6.0,10.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,0.0,2.0,3.0,2.0,3.0,4.0,3.0,1.0,3.0,1.0,4.0,3.0,3.0,8.0,3.0,9.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,,1.0,6.0,4.0,2.0,3.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,63.0,11.0,6.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,,2.0,,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,3.0,6.0,3.0,2.0,,2.0,1.0,1.0,4.0,12.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,4.0,1.0,4.0,6.0,3.0,32.0,1051.0
11,1.0,63.0,12.0,6.0,1.0,8.0,6.0,9.0,4.0,1.0,5.0,3.0,1.0,6.0,2.0,3.0,10.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,7.0,3.0,1.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,2.0,,2.0,11.0,4.0,4.0,1.0,,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,63.0,12.0,6.0,4.0,4.0,2.0,3.0,1.0,3.0,2.0,1.0,,1.0,,4.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,1.0,5.0,5.0,3.0,1.0,2.0,4.0,2.0,7.0,80.0
12,1.0,63.0,13.0,6.0,1.0,8.0,6.0,9.0,5.0,1.0,5.0,3.0,1.0,5.0,2.0,1.0,1.0,12.0,2.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,5.0,3.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,5.0,3.0,2.0,3.0,3.0,4.0,2.0,,1.0,11.0,4.0,3.0,3.0,,2.0,,3.0,2.0,2.0,3.0,1.0,0.0,3.0,2.0,63.0,13.0,6.0,5.0,4.0,2.0,3.0,1.0,3.0,3.0,1.0,,3.0,,1.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,4.0,3.0,6.0,2.0,1.0,,1.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,4.0,1.0,7.0,5.0,0.0,1.0,3.0,4.0,1.0,32.0,51.0
13,1.0,63.0,14.0,6.0,1.0,8.0,5.0,2.0,4.0,1.0,5.0,3.0,1.0,6.0,2.0,5.0,17.0,4.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,0.0,3.0,4.0,3.0,5.0,1.0,3.0,5.0,3.0,1.0,2.0,4.0,4.0,3.0,,1.0,11.0,4.0,3.0,3.0,,0.0,,0.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,63.0,14.0,6.0,5.0,5.0,6.0,3.0,3.0,3.0,3.0,2.0,,3.0,,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,9.0,0.0,3.0,,1.0,0.0,2.0,2.0,4.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,42.0,30.0
14,1.0,63.0,15.0,6.0,1.0,8.0,5.0,2.0,5.0,1.0,5.0,3.0,1.0,6.0,2.0,1.0,5.0,6.0,3.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,6.0,1.0,6.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,,1.0,1.0,4.0,5.0,2.0,,4.0,,3.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,63.0,15.0,6.0,5.0,5.0,1.0,2.0,1.0,4.0,1.0,3.0,,1.0,,2.0,5.0,5.0,5.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,5.0,2.0,3.0,,1.0,0.0,5.0,3.0,10.0,2.0,3.0,2.0,3.0,2.0,7.0,4.0,3.0,1.0,1.0,6.0,3.0,24.0,1120.0
15,1.0,63.0,16.0,6.0,1.0,8.0,5.0,5.0,3.0,1.0,5.0,3.0,1.0,6.0,3.0,5.0,1.0,10.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,5.0,3.0,1.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0,4.0,4.0,2.0,,1.0,11.0,3.0,4.0,3.0,,4.0,,4.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,63.0,16.0,6.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,3.0,,3.0,,1.0,1.0,5.0,4.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,5.0,4.0,2.0,9.0,2.0,2.0,,1.0,1.0,2.0,5.0,8.0,2.0,3.0,3.0,4.0,1.0,7.0,4.0,2.0,1.0,2.0,6.0,0.0,34.0,411.0
16,1.0,63.0,17.0,6.0,1.0,8.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0,6.0,2.0,2.0,14.0,9.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,5.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,10.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,4.0,3.0,3.0,2.0,,2.0,1.0,4.0,1.0,3.0,,4.0,,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,63.0,17.0,6.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,,1.0,,1.0,3.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,5.0,2.0,4.0,2.0,6.0,1.0,3.0,,1.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,7.0,5.0,0.0,0.0,3.0,3.0,0.0,24.0,660.0
17,1.0,63.0,18.0,6.0,1.0,8.0,3.0,5.0,1.0,1.0,5.0,3.0,2.0,6.0,3.0,2.0,5.0,9.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,,1.0,1.0,4.0,1.0,2.0,,1.0,,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,63.0,18.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,6.0,2.0,2.0,,2.0,3.0,5.0,6.0,9.0,0.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,2.0,6.0,3.0,3.0,48.0,552.0
18,1.0,63.0,19.0,6.0,1.0,8.0,4.0,2.0,5.0,1.0,5.0,3.0,1.0,6.0,2.0,2.0,6.0,10.0,3.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,3.0,2.0,2.0,5.0,5.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,1.0,3.0,2.0,5.0,3.0,2.0,5.0,4.0,2.0,3.0,,1.0,11.0,4.0,6.0,3.0,,3.0,,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,63.0,19.0,6.0,4.0,5.0,6.0,3.0,3.0,3.0,1.0,2.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,0.0,1.0,0.0,3.0,0.0,1.0,4.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,45.0,750.0
19,1.0,63.0,20.0,6.0,1.0,8.0,4.0,7.0,4.0,1.0,5.0,3.0,2.0,6.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,11.0,2.0,11.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,,1.0,11.0,4.0,1.0,4.0,,4.0,,4.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,63.0,20.0,6.0,3.0,2.0,6.0,3.0,1.0,2.0,1.0,3.0,,0.0,,1.0,3.0,3.0,4.0,5.0,5.0,5.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,9.0,2.0,1.0,,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,5.0,4.0,0.0,3.0,3.0,2.0,45.0,320.0
20,1.0,63.0,21.0,6.0,1.0,8.0,5.0,5.0,3.0,1.0,5.0,3.0,1.0,5.0,2.0,3.0,13.0,13.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,4.0,9.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,,1.0,3.0,4.0,2.0,1.0,,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,63.0,21.0,6.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,,2.0,,2.0,3.0,4.0,4.0,5.0,5.0,4.0,1.0,5.0,4.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,,3.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,6.0,3.0,2.0,3.0,0.0,1.0,2.0,3.0,2.0,32.0,1261.0
21,1.0,63.0,22.0,6.0,1.0,8.0,4.0,0.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,4.0,9.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,11.0,2.0,11.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,,2.0,9.0,4.0,5.0,3.0,,3.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,63.0,22.0,6.0,3.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,,2.0,,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,2.0,8.0,2.0,1.0,,0.0,0.0,2.0,2.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,6.0,1.0,42.0,940.0
22,1.0,63.0,23.0,6.0,1.0,8.0,5.0,3.0,4.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,11.0,11.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,,2.0,11.0,4.0,5.0,3.0,,2.0,,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,63.0,23.0,6.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,2.0,,3.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,5.0,5.0,9.0,2.0,1.0,,1.0,2.0,1.0,3.0,5.0,2.0,3.0,1.0,4.0,4.0,5.0,3.0,0.0,2.0,5.0,6.0,2.0,45.0,670.0
