,CARD,DECK,BALLOT,FORM,S195A.Q1,S195A.Q2,S195A.Q3,S195A.Q4A,S195A.Q4B,S195A.Q5A,S195A.Q5B,S195A.Q6A,S195A.Q6B,S195A.Q7A,S195A.Q7B,S195A.Q8A,S195A.Q8B,S195A.Q9A,S195A.Q9B,S195A.Q10A,S195A.Q10B,S195A.Q11A,S195A.Q11B,S195A.Q12,S195A.Q13A,S195A.Q13B,S195A.Q14A,S195A.Q14B,S195A.Q15A,S195A.Q15B,S195A.Q16A,S195A.Q16B,S195A.Q17A,S195A.Q17B,S195A.Q18A,S195A.Q18B,S195A.Q19A,S195A.Q19B,S195A.Q20A,S195A.Q20B,S195A.Q21A,S195A.Q21B,S195A.Q22A,S195A.Q22B,S195A.Q23A,S195A.Q23B,S195A.Q24A,S195A.Q24B,S195A.Q25A,S195A.Q25B,S195A.Q26A,S195A.Q26B,S195A.Q27A,S195A.Q27B,S195A.Q28A,S195A.Q28B,S195A.Q29A,S195A.Q29B,S195A.Q30A,S195A.Q30B,S195A.Q31A,S195A.Q31B,S195A.Q32A,S195A.Q32B,S195A.Q33A,S195A.Q33B,S195A.Q34A,S195A.Q34B,S195A.Q35A,S195A.Q35B,S195A.Q35C,S195A.Q35D,S195A.Q35E,S195A.Q35F,S195A.Q35G,CARD..1,DECK..1,BALLOT..1,FORM..1,S195A.Q35H,S195A.Q35I,S195A.Q35J,S195A.Q35K,S195A.Q35L,S195A.Q35M,S195A.Q36A,S195A.Q36B,S195A.Q37A,S195A.Q37B,S195A.Q38.n,S195A.V39A,S195A.V39B,S195A.V40A,S195A.V40B,S195A.V41A,S195A.V42
0,1.0,195.0,1.0,1.0,3.0,5.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,195.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,7.0,7.0,9.0,2.0
1,1.0,195.0,2.0,1.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,4.0,2.0,2.0,195.0,2.0,1.0,4.0,4.0,3.0,2.0,4.0,4.0,1.0,1.0,3.0,1.0,,9.0,1.0,4.0,7.0,5.0,1.0
2,1.0,195.0,3.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,5.0,3.0,1.0,1.0,2.0,195.0,3.0,1.0,1.0,2.0,4.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,,4.0,7.0,6.0,7.0,4.0,2.0
3,1.0,195.0,4.0,1.0,3.0,4.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,5.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,5.0,4.0,2.0,195.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,,6.0,2.0,2.0,7.0,4.0,1.0
4,1.0,195.0,5.0,1.0,2.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,195.0,5.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,5.0,1.0,,2.0,2.0,2.0,7.0,2.0,1.0
5,1.0,195.0,6.0,1.0,3.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,5.0,1.0,1.0,2.0,195.0,6.0,1.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,6.0,5.0,7.0,7.0,8.0,1.0
6,1.0,195.0,7.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,4.0,1.0,4.0,2.0,195.0,7.0,1.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,5.0,3.0,1.0,7.0,8.0,2.0
7,1.0,195.0,8.0,1.0,1.0,2.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,2.0,195.0,8.0,1.0,1.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,,3.0,8.0,7.0,7.0,4.0,1.0
8,1.0,195.0,9.0,1.0,2.0,3.0,6.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,5.0,1.0,4.0,5.0,2.0,195.0,9.0,1.0,2.0,2.0,4.0,4.0,2.0,5.0,3.0,1.0,5.0,1.0,,1.0,4.0,6.0,1.0,0.0,2.0
9,1.0,195.0,10.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,5.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,4.0,2.0,3.0,1.0,5.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,2.0,195.0,10.0,1.0,1.0,5.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,1.0,,4.0,4.0,6.0,5.0,4.0,1.0
