,CARD,DECK,BALLOT,S112.Q1,S112.Q2,S112.Q3,S112.Q4,S112.Q5,S112.Q6,S112.Q7,S112.Q8,S112.Q9,S112.Q10,S112.Q11,S112.Q12,S112.Q13,S112.Q14,S112.Q15,S112.Q16,S112.Q17,S112.Q18,S112.Q19,S112.Q20,S112.Q21,S112.Q22,S112.Q23,S112.Q24,S112.Q25,S112.Q26,S112.Q27,S112.Q28,S112.Q29,S112.Q30,S112.Q31,S112.Q32,S112.Q33,S112.Q34,S112.Q35,S112.Q36,S112.Q37,S112.Q38,S112.Q39,S112.Q40,S112.Q41,S112.Q42,S112.Q43,S112.Q44,S112.Q45,S112.Q46A,S112.Q46B.n,S112.Q47,S112.Q48,S112.Q49,S112.Q50,S112.Q51,S112.Q52,S112.Q53,S112.Q54,S112.Q55,S112.Q56,S112.Q57,S112.Q58,S112.Q59,S112.Q60,S112.Q61,S112.Q62,S112.Q63,S112.Q64,S112.Q65,S112.Q66,S112.Q67.n,S112.Q68,S112.Q69,S112.Q70,S112.Q71,S112.Q72,CARD..1,DECK..1,BALLOT..1,S112.Q73,S112.Q74,S112.Q75,S112.Q76,S112.Q77,S112.Q78,S112.V79,S112.V80
60,1.0,112.0,61.0,1.0,1.0,1.0,5.0,5.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,1.0,2.0,4.0,3.0,2.0,3.0,5.0,4.0,1.0,4.0,3.0,3.0,1.0,1.0,4.0,2.0,2.0,3.0,5.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,6.0,4.0,1.0,1.0,3.0,4.0,,2.0,2.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,,1.0,1.0,3.0,0.0,3.0,2.0,112.0,61.0,3.0,3.0,3.0,2.0,3.0,3.0,12.0,1.0
61,1.0,112.0,62.0,1.0,4.0,1.0,6.0,5.0,2.0,4.0,4.0,3.0,2.0,5.0,4.0,5.0,5.0,1.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,0.0,4.0,4.0,,3.0,3.0,3.0,0.0,2.0,2.0,112.0,62.0,3.0,2.0,2.0,3.0,3.0,3.0,91.0,33.0
62,1.0,112.0,63.0,1.0,2.0,1.0,5.0,5.0,2.0,4.0,4.0,4.0,1.0,2.0,3.0,4.0,3.0,1.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,,4.0,1.0,3.0,0.0,2.0,2.0,112.0,63.0,2.0,3.0,3.0,3.0,0.0,3.0,81.0,26.0
63,1.0,112.0,64.0,1.0,3.0,1.0,6.0,5.0,2.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,5.0,2.0,3.0,5.0,6.0,0.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,7.0,5.0,3.0,0.0,0.0,3.0,,0.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,2.0,0.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,,2.0,2.0,3.0,2.0,3.0,2.0,112.0,64.0,4.0,3.0,3.0,1.0,3.0,3.0,13.0,5.0
64,1.0,112.0,65.0,1.0,1.0,1.0,6.0,5.0,2.0,4.0,4.0,4.0,2.0,5.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,2.0,1.0,3.0,,3.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,4.0,,1.0,2.0,2.0,2.0,2.0,2.0,112.0,65.0,1.0,3.0,3.0,2.0,1.0,1.0,21.0,78.0
65,1.0,112.0,66.0,1.0,2.0,1.0,6.0,5.0,2.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,5.0,4.0,2.0,3.0,2.0,3.0,,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,,3.0,1.0,2.0,0.0,2.0,2.0,112.0,66.0,2.0,3.0,2.0,3.0,1.0,2.0,81.0,51.0
66,1.0,112.0,67.0,1.0,2.0,1.0,6.0,5.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,5.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,,2.0,2.0,3.0,2.0,3.0,2.0,112.0,67.0,2.0,1.0,1.0,3.0,2.0,2.0,21.0,28.0
67,1.0,112.0,68.0,1.0,3.0,1.0,6.0,5.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,1.0,2.0,4.0,2.0,3.0,2.0,5.0,5.0,1.0,0.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,,2.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,4.0,2.0,2.0,2.0,0.0,6.0,3.0,3.0,,2.0,2.0,3.0,2.0,1.0,2.0,112.0,68.0,3.0,1.0,1.0,2.0,1.0,3.0,33.0,4.0
68,1.0,112.0,69.0,0.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,,2.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,0.0,4.0,3.0,3.0,2.0,3.0,0.0,3.0,2.0,,2.0,1.0,4.0,0.0,1.0,2.0,112.0,69.0,3.0,1.0,2.0,3.0,3.0,3.0,24.0,59.0
69,1.0,112.0,70.0,1.0,2.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,1.0,3.0,2.0,2.0,4.0,5.0,2.0,5.0,3.0,2.0,3.0,6.0,2.0,3.0,4.0,2.0,2.0,4.0,5.0,4.0,3.0,2.0,3.0,2.0,3.0,4.0,5.0,3.0,1.0,1.0,3.0,4.0,,3.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,3.0,3.0,5.0,6.0,2.0,0.0,,3.0,3.0,4.0,3.0,1.0,2.0,112.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,14.0
70,1.0,112.0,71.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,3.0,4.0,3.0,6.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,2.0,2.0,0.0,4.0,,3.0,2.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,0.0,2.0,,0.0,5.0,4.0,0.0,2.0,2.0,112.0,71.0,1.0,1.0,1.0,2.0,2.0,2.0,93.0,3.0
71,1.0,112.0,72.0,1.0,2.0,1.0,4.0,4.0,2.0,5.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,,3.0,2.0,4.0,4.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,,2.0,2.0,3.0,1.0,3.0,2.0,112.0,72.0,2.0,3.0,2.0,3.0,1.0,1.0,82.0,3.0
72,1.0,112.0,73.0,1.0,2.0,1.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,,2.0,2.0,3.0,0.0,3.0,2.0,112.0,73.0,1.0,1.0,1.0,3.0,1.0,3.0,73.0,65.0
73,1.0,112.0,74.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,,2.0,1.0,3.0,1.0,2.0,2.0,112.0,74.0,2.0,2.0,3.0,3.0,3.0,3.0,23.0,8.0
74,1.0,112.0,75.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,0.0,7.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,,2.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,4.0,4.0,,2.0,2.0,3.0,0.0,2.0,2.0,112.0,75.0,1.0,1.0,1.0,1.0,1.0,2.0,53.0,54.0
