,CARD,DECK,BALLOT,FORM,S135B.Q1,S135B.Q2A,S135B.Q2B,S135B.Q3,S135B.Q4,S135B.Q5A,S135B.Q5B,S135B.Q6A.1,S135B.Q6A.2,S135B.Q6B,S135B.Q7,S135B.Q8,S135B.Q9A,S135B.Q9B,S135B.Q10,S135B.Q11,S135B.Q11A.n,S135B.Q12,S135B.Q13A,S135B.Q13B,S135B.Q14A.1,S135B.Q14A.2,S135B.Q14B.1,S135B.Q14B.2,S135B.Q14C,S135B.Q15A,S135B.Q15B,S135B.Q16,S135B.Q17,S135B.Q17A.n,S135B.Q18,S135B.Q19,S135B.Q20,S135B.Q21,S135B.Q22,S135B.Q23,S135B.Q24A,S135B.Q24B,S135B.Q24C,S135B.Q24D,S135B.Q24E,S135B.Q24F,S135B.Q24G,S135B.Q25A,S135B.Q25B,S135B.Q25C,S135B.Q25D,S135B.Q25E,S135B.Q25F,S135B.Q25G,S135B.Q25H,S135B.Q25I,S135B.Q26A,S135B.Q26B,CARD..1,DECK..1,BALLOT..1,FORM..1,S135B.Q26C,S135B.Q26D,S135B.Q27A,S135B.Q27B,S135B.Q28A,S135B.Q28B,S135B.Q29A,S135B.Q29B.n,S135B.Q29C.n,S135B.Q30A,S135B.Q30B,S135B.Q31A,S135B.Q31B,S135B.Q32A,S135B.Q32B,S135B.Q33,S135B.Q34,S135B.Q35,S135B.Q36A,S135B.Q36B,S135B.Q37A,S135B.Q37B,S135B.Q38.n,S135B.V39,S135B.V40
105,1.0,135.0,106.0,2.0,1.0,9.0,8.0,4.0,9.0,2.0,2.0,10.0,3.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,,8.0,2.0,4.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,,3.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,7.0,6.0,2.0,135.0,106.0,2.0,3.0,3.0,9.0,9.0,2.0,2.0,1.0,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,4.0,,2.0,15.0
106,1.0,135.0,107.0,2.0,1.0,8.0,7.0,4.0,7.0,1.0,1.0,10.0,1.0,4.0,2.0,1.0,3.0,3.0,1.0,1.0,,7.0,3.0,4.0,3.0,7.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,,3.0,1.0,3.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,8.0,2.0,135.0,107.0,2.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,,,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,4.0,,5.0,15.0
107,1.0,135.0,108.0,2.0,1.0,9.0,8.0,4.0,6.0,3.0,1.0,10.0,1.0,5.0,3.0,3.0,5.0,5.0,2.0,3.0,,7.0,1.0,1.0,5.0,9.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,,1.0,2.0,2.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,135.0,108.0,2.0,3.0,10.0,9.0,9.0,3.0,2.0,1.0,,,3.0,3.0,2.0,4.0,3.0,1.0,1.0,2.0,4.0,5.0,4.0,5.0,4.0,,5.0,83.0
108,1.0,135.0,109.0,2.0,1.0,9.0,8.0,4.0,7.0,2.0,2.0,12.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,3.0,,7.0,3.0,8.0,4.0,6.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,,1.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,5.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,6.0,5.0,2.0,135.0,109.0,2.0,3.0,2.0,3.0,9.0,2.0,2.0,2.0,,,1.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,,3.0,99.0
109,1.0,135.0,110.0,2.0,1.0,8.0,7.0,4.0,4.0,1.0,1.0,10.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,,7.0,3.0,2.0,1.0,7.0,11.0,1.0,2.0,1.0,2.0,4.0,2.0,,1.0,2.0,2.0,1.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,6.0,2.0,135.0,110.0,2.0,3.0,4.0,9.0,9.0,3.0,2.0,2.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,,5.0,38.0
110,1.0,135.0,111.0,2.0,1.0,9.0,8.0,4.0,4.0,2.0,2.0,11.0,11.0,6.0,2.0,2.0,5.0,4.0,1.0,2.0,,7.0,2.0,10.0,5.0,8.0,2.0,2.0,7.0,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,1.0,3.0,2.0,5.0,3.0,5.0,5.0,2.0,3.0,6.0,7.0,2.0,135.0,111.0,2.0,3.0,2.0,10.0,0.0,2.0,2.0,2.0,,,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,4.0,,3.0,84.0
111,1.0,135.0,112.0,2.0,2.0,10.0,9.0,4.0,6.0,3.0,2.0,6.0,11.0,3.0,1.0,1.0,6.0,5.0,1.0,1.0,,7.0,10.0,8.0,6.0,7.0,2.0,2.0,4.0,3.0,2.0,4.0,1.0,,1.0,2.0,3.0,1.0,2.0,6.0,5.0,5.0,5.0,5.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,7.0,2.0,135.0,112.0,2.0,1.0,2.0,2.0,9.0,3.0,2.0,2.0,,,1.0,1.0,1.0,4.0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,5.0,4.0,,6.0,85.0
112,1.0,135.0,113.0,2.0,2.0,10.0,9.0,4.0,6.0,3.0,3.0,5.0,11.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,7.0,11.0,8.0,5.0,7.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,,1.0,1.0,2.0,3.0,2.0,6.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,2.0,3.0,4.0,5.0,2.0,135.0,113.0,2.0,3.0,3.0,9.0,9.0,3.0,2.0,2.0,,,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,6.0,1.0
113,1.0,135.0,114.0,2.0,2.0,10.0,9.0,4.0,4.0,3.0,2.0,6.0,11.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,,7.0,3.0,6.0,6.0,7.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,,1.0,2.0,3.0,2.0,3.0,6.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,7.0,7.0,2.0,135.0,114.0,2.0,6.0,10.0,2.0,9.0,3.0,2.0,2.0,,,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,,8.0,29.0
114,1.0,135.0,115.0,2.0,2.0,9.0,9.0,4.0,7.0,3.0,3.0,6.0,1.0,3.0,3.0,2.0,2.0,6.0,2.0,2.0,,1.0,7.0,6.0,3.0,7.0,1.0,4.0,2.0,3.0,2.0,4.0,2.0,,3.0,2.0,2.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,2.0,3.0,2.0,2.0,2.0,135.0,115.0,2.0,10.0,10.0,1.0,9.0,3.0,4.0,2.0,,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,5.0,4.0,,9.0,67.0
