,CARD,DECK,BALLOT,S157O.FORM,S157O.Q1,S157O.Q2,S157O.Q3,S157O.Q4,S157O.Q5,S157O.Q6,S157O.Q7,S157O.Q8,S157O.Q9,S157O.Q10,S157O.Q11,S157O.Q12,S157O.Q13,S157O.Q14,S157O.Q15,S157O.Q16,S157O.Q17,S157O.Q18,S157O.V18,S157O.Q19,S157O.Q20,S157O.Q21,S157O.Q22,S157O.Q23,S157O.Q24A,S157O.Q24B.1,S157O.Q24B.2,S157O.Q25,S157O.Q26,S157O.Q27A,S157O.Q27B.1,S157O.Q27B.2,S157O.Q28,S157O.Q29,S157O.Q30A,S157O.Q30B,S157O.Q31,S157O.Q32,S157O.Q33,S157O.Q34,S157O.Q35,S157O.Q36,S157O.Q37,S157O.Q38,S157O.Q39.n,S157O.Q40A.n,S157O.Q40B,S157O.Q41,S157O.Q42,S157O.Q43,S157O.Q44,S157O.Q45,S157O.Q46,S157O.Q47,S157O.Q48,S157O.Q49,S157O.Q50,S157O.Q51A.n,S157O.Q51B,CARD..1,DECK..1,BALLOT..1,FORM..1,S157O.Q52,S157O.Q53,S157O.Q54,S157O.Q55,S157O.Q56,S157O.Q57,S157O.Q58,S157O.Q59A,S157O.Q59B,S157O.Q60A,S157O.Q60B,S157O.Q60C,S157O.Q60D,S157O.Q60E,S157O.Q60F,S157O.Q60G,S157O.Q60H,S157O.V61,S157O.V62,S157O.V63,S157O.V64,S157O.V65,S157O.V66,S157O.V67,S157O.V68,S157O.V69,S157O.V70,S157O.V71
0,1.0,157.0,1.0,2.0,3.0,7.0,9.0,1.0,5.0,3.0,7.0,5.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,99.0,1.0,8.0,10.0,3.0,4.0,6.0,3.0,5.0,15.0,2.0,2.0,9.0,14.0,12.0,9.0,2.0,1.0,0.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,,,2.0,3.0,6.0,4.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,,5.0,2.0,157.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,2.0,9.0,3.0,1.0,1.0,11.0,66.0,58.0
1,1.0,157.0,2.0,2.0,5.0,7.0,9.0,2.0,4.0,1.0,6.0,5.0,6.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,5.0,99.0,1.0,8.0,9.0,1.0,6.0,2.0,2.0,3.0,15.0,3.0,2.0,9.0,14.0,12.0,9.0,2.0,1.0,0.0,2.0,3.0,1.0,3.0,5.0,3.0,4.0,1.0,,,2.0,6.0,6.0,4.0,2.0,2.0,4.0,1.0,4.0,3.0,2.0,,11.0,2.0,157.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,12.0,3.0,1.0,1.0,11.0,66.0,79.0
2,1.0,157.0,3.0,2.0,3.0,7.0,9.0,2.0,4.0,1.0,7.0,5.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,99.0,1.0,8.0,9.0,3.0,4.0,2.0,4.0,16.0,5.0,2.0,1.0,9.0,14.0,12.0,9.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,4.0,3.0,4.0,2.0,,,3.0,4.0,6.0,2.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,,9.0,2.0,157.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,4.0,7.0,2.0,1.0,1.0,11.0,66.0,69.0
3,1.0,157.0,4.0,2.0,3.0,8.0,5.0,1.0,5.0,3.0,6.0,5.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,99.0,1.0,8.0,9.0,3.0,4.0,5.0,2.0,8.0,15.0,1.0,3.0,9.0,14.0,12.0,9.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,6.0,1.0,,,1.0,1.0,6.0,4.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,,10.0,2.0,157.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,4.0,1.0,5.0,2.0,1.0,4.0,7.0,36.0,95.0
4,1.0,157.0,5.0,2.0,3.0,7.0,8.0,2.0,4.0,1.0,8.0,5.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,99.0,1.0,8.0,9.0,3.0,4.0,2.0,2.0,4.0,15.0,3.0,3.0,9.0,14.0,12.0,9.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,3.0,4.0,4.0,2.0,,,2.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,,8.0,2.0,157.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,6.0,2.0,1.0,1.0,5.0,34.0,12.0
5,1.0,157.0,6.0,2.0,3.0,9.0,9.0,1.0,5.0,3.0,6.0,5.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,5.0,99.0,1.0,8.0,10.0,5.0,5.0,7.0,3.0,11.0,15.0,3.0,3.0,9.0,14.0,12.0,9.0,2.0,6.0,7.0,3.0,5.0,1.0,5.0,4.0,3.0,3.0,2.0,,,2.0,6.0,6.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0,2.0,,9.0,2.0,157.0,6.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,9.0,3.0,1.0,1.0,11.0,66.0,3.0
6,1.0,157.0,7.0,2.0,4.0,4.0,9.0,2.0,4.0,1.0,7.0,5.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,99.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,16.0,5.0,3.0,3.0,9.0,14.0,12.0,9.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,,,5.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,,7.0,2.0,157.0,7.0,2.0,1.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,12.0,3.0,1.0,1.0,5.0,34.0,107.0
7,1.0,157.0,8.0,2.0,4.0,9.0,9.0,1.0,5.0,3.0,7.0,5.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,99.0,1.0,2.0,3.0,1.0,4.0,2.0,4.0,16.0,5.0,6.0,3.0,9.0,14.0,12.0,9.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,5.0,4.0,3.0,2.0,,,5.0,3.0,6.0,3.0,1.0,4.0,2.0,3.0,3.0,4.0,2.0,,4.0,2.0,157.0,8.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,12.0,3.0,1.0,1.0,11.0,66.0,13.0
8,1.0,157.0,9.0,2.0,3.0,9.0,9.0,2.0,4.0,1.0,6.0,5.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,99.0,1.0,2.0,8.0,2.0,4.0,6.0,4.0,16.0,2.0,2.0,3.0,9.0,14.0,12.0,9.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,,,3.0,3.0,6.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,3.0,,9.0,2.0,157.0,9.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,12.0,3.0,1.0,1.0,11.0,66.0,39.0
9,1.0,157.0,10.0,2.0,3.0,6.0,3.0,1.0,5.0,3.0,4.0,5.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,99.0,1.0,8.0,8.0,2.0,4.0,2.0,3.0,13.0,15.0,1.0,3.0,9.0,14.0,12.0,9.0,2.0,1.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,,,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,,8.0,2.0,157.0,10.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,15.0,4.0,1.0,4.0,7.0,36.0,101.0
