,CARD,DECK,BALLOT,FORM,S100D.Q1,S100D.Q2,S100D.Q3,S100D.Q4.1,S100D.Q4.2,S100D.Q5A.n,S100D.Q5B,S100D.Q5C.n,S100D.Q5D.n,S100D.Q6,S100D.Q7,S100D.Q8A,S100D.Q8B,S100D.Q8C,S100D.Q9,S100D.Q10,S100D.Q11,S100D.Q12A,S100D.Q12B,S100D.Q13,S100D.Q14,S100D.Q15A.x,S100D.Q16,S100D.Q17,S100D.Q18A,S100D.Q18B,S100D.Q19,S100D.Q20A,S100D.Q20B,S100D.Q21,S100D.Q22,S100D.Q23,S100D.Q24,S100D.Q25A,S100D.Q25B,S100D.Q26,S100D.Q27,S100D.Q28A,S100D.Q28B,S100D.Q28C,S100D.Q29,S100D.Q30,S100D.Q31,S100D.Q32A,S100D.Q32B,S100D.Q33,S100D.Q34,S100D.Q35A,S100D.Q35B,S100D.Q35C,S100D.Q35D,S100D.Q35E,S100D.Q35F,S100D.Q35G,S100D.Q35H.n,S100D.Q35I,S100D.Q35J,S100D.Q36,S100D.Q37,S100D.Q38A,S100D.Q38B,S100D.Q39A,S100D.Q39B,S100D.Q39C,S100D.Q39D,S100D.Q39E,S100D.Q39F,S100D.Q39G,S100D.Q39H,CARD..1,DECK..1,BALLOT..1,FORM..1,S100D.Q40A,S100D.Q40B,S100D.Q40C,S100D.Q40D,S100D.Q40E,S100D.Q41,S100D.Q42,S100D.Q43A,S100D.Q43B,S100D.Q43C,S100D.Q43D,S100D.Q43E,S100D.Q43F,S100D.Q43G,S100D.Q43H,S100D.Q43I,S100D.Q43J,S100D.Q44A,S100D.Q44B,S100D.Q45,S100D.Q46,S100D.Q47A.n,S100D.Q47B.n,S100D.Q48A,S100D.Q48B,S100D.Q49A,S100D.Q49B,S100D.Q50A,S100D.Q50B,S100D.Q50C,S100D.Q50D,S100D.Q50E,S100D.Q51A.n,S100D.Q51B.n,S100D.Q51C.n,S100D.Q51D,S100D.Q52,S100D.Q53,S100D.Q54,S100D.Q55,S100D.Q56,S100D.Q57A,S100D.Q57B,S100D.Q57C,S100D.Q58,S100D.Q59,S100D.Q60A,S100D.Q60B,S100D.Q61,S100D.Q62,S100D.Q63.1,S100D.Q63.2,S100D.Q63.3,S100D.Q63.4,S100D.Q63.5,S100D.Q63.6,S100D.Q63.7,S100D.Q63.8,S100D.Q63.9,S100D.Q63.10,S100D.Q63.11,S100D.Q63.12,S100D.Q63.13,S100D.Q63.14,S100D.Q64,S100D.Q65.n,S100D.V66,S100D.V67,S100D.V68,S100D.V69,S100D.V70
10,1.0,100.0,11.0,4.0,5.0,4.0,11.0,12.0,2.0,,26.0,,,1.0,2.0,1.0,3.0,1.0,4.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,8.0,2.0,2.0,2.0,11.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,0.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,100.0,11.0,4.0,1.0,3.0,2.0,1.0,3.0,2.0,6.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0,,,2.0,4.0,1.0,1.0,5.0,1.0,4.0,5.0,1.0,,,,5.0,5.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,,10.0,10.0,8.0,6.0,66.0
11,1.0,100.0,12.0,4.0,2.0,4.0,9.0,1.0,4.0,,20.0,,,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,8.0,3.0,2.0,2.0,9.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,,3.0,1.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,100.0,12.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,0.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,,,1.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,,,,4.0,6.0,1.0,10.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,11.0,7.0,5.0,3.0,47.0
12,1.0,100.0,13.0,4.0,5.0,4.0,4.0,7.0,2.0,,23.0,,,1.0,2.0,7.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,8.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,5.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,100.0,13.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,,,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,2.0,2.0,1.0,9.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,10.0,9.0,7.0,7.0,60.0
13,1.0,100.0,14.0,4.0,1.0,4.0,9.0,9.0,3.0,,14.0,,,1.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,5.0,5.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,3.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,100.0,14.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,,,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,4.0,3.0,1.0,6.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,8.0,4.0,2.0,1.0,68.0
14,1.0,100.0,15.0,4.0,2.0,4.0,1.0,1.0,4.0,,21.0,,,1.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,8.0,3.0,3.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,3.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,100.0,15.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,,,2.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,3.0,2.0,1.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,,1.0,2.0,1.0,3.0,13.0
15,1.0,100.0,16.0,4.0,2.0,4.0,3.0,5.0,3.0,,21.0,,,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,8.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,100.0,16.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,,,1.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,9.0,5.0,4.0,5.0,49.0
16,1.0,100.0,17.0,4.0,6.0,4.0,9.0,8.0,2.0,,19.0,,,1.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,8.0,3.0,3.0,4.0,5.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,100.0,17.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,,,1.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,1.0,4.0,3.0,8.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,12.0,4.0,3.0,10.0,35.0
17,1.0,100.0,18.0,4.0,4.0,4.0,3.0,9.0,2.0,,20.0,,,1.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,8.0,2.0,3.0,4.0,5.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,100.0,18.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,,,1.0,5.0,1.0,1.0,3.0,2.0,5.0,5.0,1.0,,,,4.0,4.0,2.0,9.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,4.0,5.0,4.0,3.0,21.0
18,1.0,100.0,19.0,4.0,3.0,4.0,9.0,1.0,2.0,,21.0,,,1.0,2.0,2.0,3.0,7.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,8.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,100.0,19.0,4.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,,,2.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,,,,2.0,3.0,2.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,12.0,5.0,4.0,2.0,83.0
19,1.0,100.0,20.0,4.0,1.0,4.0,8.0,6.0,4.0,,3.0,,,1.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,8.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,100.0,20.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0,,,2.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,,,,3.0,4.0,2.0,9.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,12.0,7.0,4.0,12.0,37.0
