CARD.  1. CARD ONE 
DECK.  101. SURVEY NUMBER 
BALLOT.  X. BALLOT NUMBER GENERATED BY ROPER CENTER. 
FORM.  1. S-101B 2. S-101C 3. S-101D 4. S-101E 5. S-101F 
Q.1. WHAT IS YOUR RANK*  1. CAPTAIN 2. 1ST LIEUTENANT 3. 2ND LIEUTENANT 0. NO ANSWER 
Q.2. HOW LONG HAVE YOU BEEN IN YOUR PRESENT RANK*  0. NO ANSWER 1. 3 MONTHS OR LESS 2. OVER 3 MONTHS UP TO 6 MONTHS 3. OVER 6 MONTHS UP TO 9 MONTHS 4. OVER 9 MONTHS UP TO 1 YEAR 5. OVER 1 YEAR UP TO 2 YEARS 6. OVER 2 YEARS 
"Q.3. ARE YOU:  1. SINGLE 2. MARRIED AND HAVE NO CHILDREN 3. MARRIED AND DO HAVE CHILDREN 4. WIDOWED, DIVORCED, OR SEPARATED "
Q.4. HOW LONG HAVE YOU BEEN OVERSEAS* E. FOR NATIONAL GUARD TROOPS THIS MEANS ACTIVE SERVICE.  1. SIX MONTHS OR LESS 2. MORE THAN 6 MONTHS BUT NOT OVER 1 YEAR 3. MORE THAN 1 YEAR BUT NOT OVER 1 1/2 YEARS 4. MORE THAN 1 1/2 YEARS 
Q.5. WHAT MONTH AND YEAR DID YOU JOIN THIS DIVISION* E. MONTH:  01. JANUARY 02. FEBRUARY 03. MARCH 04. APRIL 05. MAY 06. JUNE 07. JULY 08. AUGUST 09. SEPTEMBER 10. OCTOBER 11. NOVEMBER 12. DECEMBER E. YEAR: 
Q.5. WHAT MONTH AND YEAR DID YOU JOIN THIS DIVISION* E. MONTH:  26 1. 1940 OR EARLIER 36 2. 1941 185 3. 1942 20 4. 1943 0 5. 1944 X. QUESTION 6A NOT CODED. 
"Q.6B. ABOUT HOW MANY DAYS ALTOGETHER, HAVE YOU BEEN IN COMBAT NOT COUNTING THE DAYS YOU,VE SPENT BACK OF THE LINE OR AWAY FROM THE FRONT*  ANP (ACTUAL NUMBER DAYS) 003. 3 DAYS . . . 252. 252 DAYS 000. NONE 999.NO ANSWER X. QUESTIONS 6C AND 6D NOT CODED. "
Q.7. WHAT BRANCH OF THE ARMY ARE YOU IN NOW*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. OTHER 
"Q.8. IF YOU HAD A CHOICE, WHICH ONE OF THESE BRANCHES OF THE ARMY WOULD YOU LIKE TO BE IN*  01. ENGINEERS 02. FIELD ARTILLERY 03. QUARTERMASTER CORPS 04. INFANTRY 05. MEDICAL DEPARTMENT 06. ARMORED FORCE 07. SIGNAL CORPS 08. COAST ARTILLERY AND ANTI-AIRCRAFT 09. AIR CORPS 10. TRANSPORTATION CORPS 11. ORDNANCE DEPARTMENT 12. CHEMICAL WARFARE SERVICE 13. MILITARY POLICE 14. ALL OTHERS 00. NO ANSWER "
Q.9A. ARE YOU:  1. A LINE OFFICER 2. A STAFF OFFICER 0. NO ANSWER 
