COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99,COL100,COL101,COL102,COL103,COL104,COL105,COL106,COL107,COL108,COL109,COL110,COL111,COL112,COL113,COL114,COL115,COL116,COL117,COL118,COL119,COL120,COL121,COL122
1,232,11,3,5,7,4,9,1,4,2,2,1,2,3,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,3,6,3,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,4,3,1,1,1,1,0,2,1,2,4,4,3,1,,22,3200,1,1,1,2,2,2,2,2,2,3,3,1,2,2,1,2,2,2,1,1,5,3,37,1,1,2,2,2,2,2,12,0,0,1,2,3,1,3,1,2,2,2,2,2,2,2,2,12
1,232,12,2,5,7,1,7,1,3,2,2,2,1,2,2,2,3,2,2,2,2,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,3,1,0,2,2,2,1,2,2,2,,22,3200,1,2,2,2,2,2,2,1,2,3,3,3,2,1,2,2,2,2,4,2,3,3,21,0,1,1,2,2,2,2,22,0,8,3,3,4,3,3,1,2,2,2,2,2,2,2,5,11
1,232,13,2,5,7,4,9,1,4,2,2,2,5,4,2,3,1,3,2,2,3,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,5,3,5,3,3,3,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,1,2,2,1,0,2,2,1,2,1,1,1,,22,3200,1,3,1,2,2,2,1,2,2,3,3,3,2,1,2,2,2,2,4,2,5,2,28,1,1,1,2,2,2,2,22,1,9,1,3,4,2,1,1,2,2,2,2,2,2,2,4,12
1,232,14,1,6,7,3,4,3,4,2,2,2,5,5,1,3,1,2,2,3,3,2,3,1,2,2,2,2,2,2,2,2,2,2,2,5,4,3,3,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,1,4,3,2,1,2,1,0,2,1,2,1,,22,3200,1,4,1,2,2,2,2,2,2,3,3,3,2,1,2,2,2,2,4,2,5,3,27,1,1,2,2,2,2,2,12,0,0,0,0,3,4,3,1,2,2,2,2,2,2,2,5,11
1,232,15,3,6,7,3,4,1,4,2,2,2,4,4,1,3,1,3,2,2,3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,4,2,2,3,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,4,3,3,0,2,2,4,1,1,2,2,,22,3200,1,5,2,2,2,2,2,1,2,3,3,3,2,2,1,2,2,2,3,2,5,1,18,0,1,1,2,2,1,2,22,1,3,1,1,3,1,3,1,2,2,2,2,2,2,2,3,11
1,232,16,2,7,7,3,4,1,4,1,1,3,3,3,3,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,4,5,3,5,3,2,3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,1,1,4,1,1,0,3,1,2,2,1,3,0,,22,3200,1,6,1,1,2,2,2,2,2,3,3,1,2,2,1,2,2,2,4,2,5,2,13,0,2,1,2,2,2,2,22,1,9,1,3,4,2,3,1,2,2,2,2,2,2,2,5,11
1,232,17,1,7,7,3,4,1,4,2,2,1,5,5,1,3,2,3,2,2,2,3,2,2,2,2,2,2,1,1,2,2,2,2,2,4,4,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,3,1,2,3,2,1,3,1,1,1,1,3,1,,22,3200,1,7,1,1,1,2,2,2,2,3,3,3,2,2,1,2,2,2,3,2,5,2,14,1,1,2,2,2,2,2,12,0,0,4,3,4,1,3,2,2,2,2,2,2,2,1,2,11
1,232,18,3,7,7,3,10,2,4,2,1,1,2,3,2,2,1,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,2,6,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,9,9,9,9,2,4,4,1,2,2,2,,22,3200,1,8,2,2,2,2,2,1,2,3,3,2,2,2,2,2,2,1,4,3,5,3,11,0,2,1,2,2,2,2,22,1,9,3,3,3,1,3,1,2,2,2,2,2,2,2,5,13
1,232,19,2,7,7,3,10,1,4,1,2,1,3,4,2,2,2,3,1,2,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,4,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,9,9,9,9,9,9,9,2,4,4,4,2,2,2,,22,3200,1,9,2,2,2,2,2,1,2,2,3,3,2,2,2,1,2,2,4,2,5,3,28,1,1,2,2,2,2,2,12,0,0,3,2,3,4,3,1,2,2,2,2,2,2,2,5,11
1,232,20,4,7,7,3,10,1,4,2,1,1,2,3,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,3,1,0,2,4,4,4,4,2,2,,22,3200,2,0,2,2,2,2,2,1,2,3,5,4,2,1,2,2,2,2,4,2,5,3,11,0,2,1,2,2,2,2,22,1,9,1,1,2,3,3,1,2,2,2,2,2,2,2,2,13
