CARD.,DECK.,BALLOT.,FORM.,Q.1.,Q.2.,Q.3.,Q.4.,Q.5.,Q.5..1,Q.6B.,Q.7.,Q.8.,Q.9A.,Q.9B.,Q.9C.,Q.9D.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21A.,Q.21B.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26A.,Q.26B.,Q.27.,Q.28.,Q.29.,Q.30A.,Q.30B.,Q.30C.,Q.30D.,Q.31A.,Q.31B.,Q.31C.,Q.31D.,Q.31E.,Q.31F.,Q.31G.,Q.31H.,Q.31I.,Q.31J.,Q.31K.,Q.31L.,Q.31M.,Q.31N.,Q.31O.,Q.31P.,Q.31Q.,Q.31R.,Q.31S.,Q.31T.,Q.32.,Q.33.,Q.34.,Q.35A.,Q.35B.,Q.36A.,Q.36B.,Q.36C.,CARD..1,DECK..1,BALLOT..1,FORM..1,Q.36D.,Q.36E.,Q.36F.,Q.36G.,Q.36I.,Q.36J.,Q.37A.,Q.37B.,Q.38.,Q.39.,Q.40A.,Q.40B.,Q.42.,Q.43A.,Q.43B.,Q.43C.,Q.43D.,Q.43E.,Q.43F.,Q.43G.,Q.43H.,Q.43I.,Q.43J.,Q.44.,Q.47A.,Q.47B.,Q.47C.,Q.47D.,Q.47E.,Q.49.,Q.50A.,Q.50B.,Q.50C.,Q.50D.,Q.51A.,Q.51B.,Q.53A.,Q.53B.,Q.54A.,Q.54B.,Q.54C.,Q.54D.,Q.54E.,Q.55A.,Q.55B.,Q.56.,Q.57.,Q.58.,Q.58..1,Q.58..2,Q.58..3,Q.58..4,Q.58..5,Q.58..6,Q.58..7,Q.58..8,Q.58..9,Q.58..10,Q.58..11,Q.58..12,Q.59.,Q.60A.,Q.60B.,Q.61A.,Q.61A..1,Q.61B.,V.63.
1,101,1,3,1,5,3,2,9,4,14,4,4,0,3,3,2,1,3,1,2,1,2,1,1,1,9,2,3,2,2,2,1,1,2,3,2,2,1,1,1,1,4,4,4,4,4,4,1,4,4,4,1,1,4,1,1,4,4,4,4,4,2,1,3,3,3,1,1,1,2,101,1,3,1,1,1,1,1,2,1,1,1,1,2,2,5,2,4,4,3,4,4,4,4,4,4,1,2,2,2,2,2,0,2,2,2,2,1,1,1,2,55,20,20,5,0,2,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,2,2,3,2,4,3,1,3
1,101,2,3,2,6,3,4,6,4,5,4,4,1,2,1,2,1,3,1,2,1,2,3,1,2,9,2,2,2,3,2,1,1,1,3,1,1,2,2,2,3,1,1,4,1,2,1,4,4,4,4,2,3,1,4,4,4,4,1,1,4,3,1,4,3,3,1,1,3,2,101,2,3,3,1,1,3,1,1,1,3,1,4,1,1,1,3,2,4,4,4,4,3,4,4,4,3,5,1,5,5,3,2,1,2,1,2,0,0,1,2,20,20,20,20,20,2,3,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6,6,3,4,3,2
1,101,3,3,2,2,3,2,12,3,27,4,11,1,1,1,1,1,3,2,2,1,2,2,1,1,0,1,2,4,3,2,2,1,1,1,1,1,1,2,1,1,1,4,4,2,4,4,1,4,4,4,1,2,2,4,4,4,4,4,4,4,3,3,3,3,3,1,1,1,2,101,3,3,1,1,1,1,1,3,1,1,1,1,3,1,1,1,2,4,4,2,4,2,4,4,4,1,1,1,1,1,1,4,1,2,1,2,1,1,1,2,0,25,75,0,0,2,3,3,3,2,2,2,2,1,2,1,2,2,2,2,2,2,1,6,6,4,5,4,1
1,101,4,3,3,5,2,2,8,4,6,4,4,1,3,1,1,1,3,1,1,1,2,3,1,1,8,1,2,3,2,2,2,1,1,1,2,2,1,2,1,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,3,3,4,3,2,1,1,1,2,101,4,3,1,1,1,2,1,3,1,1,1,1,1,2,5,2,2,4,2,4,4,4,4,4,4,1,5,1,5,5,2,3,2,3,1,2,1,3,1,2,5,75,10,5,5,2,1,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,6,2,5,3,5,1
1,101,5,3,1,5,1,2,7,1,27,4,4,1,2,1,1,1,3,2,1,1,2,2,1,2,8,1,2,2,2,1,1,1,2,3,2,5,1,2,1,1,4,1,1,2,4,1,1,4,1,1,1,2,1,1,1,4,4,1,1,1,4,1,1,3,3,0,1,1,2,101,5,3,1,1,1,2,1,0,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,2,3,3,1,4,3,1,2,2,3,2,3,1,1,1,1,5,80,5,10,0,2,3,3,3,2,2,2,2,2,1,2,2,2,1,2,2,2,2,5,3,3,4,3,1
1,101,6,3,2,2,1,2,12,3,28,4,3,1,2,1,2,1,3,1,2,1,2,2,1,3,8,2,2,4,8,2,1,2,2,3,2,4,1,1,1,1,4,1,4,2,4,4,4,1,4,4,4,1,2,4,4,4,1,1,4,1,3,1,1,3,3,1,1,2,2,101,6,3,3,1,1,1,1,1,1,1,1,2,1,2,2,2,2,4,4,4,4,4,4,4,2,1,1,1,2,4,1,3,2,2,2,3,1,2,1,2,5,10,75,10,0,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,6,2,5,3,2,1
1,101,7,3,2,4,2,3,1,2,27,4,9,1,1,1,1,2,3,1,1,1,2,2,1,3,9,1,2,2,3,2,1,1,1,1,2,2,2,2,1,1,1,4,4,3,4,3,1,4,4,4,1,2,3,4,4,1,1,3,3,4,4,2,3,2,2,1,1,0,2,101,7,3,1,1,1,2,1,0,1,1,2,1,3,1,1,2,3,4,4,3,4,4,4,4,4,1,5,1,5,1,1,3,1,4,1,2,1,0,0,2,0,20,70,0,10,1,1,3,3,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,5,0,3,1
1,101,8,3,2,3,3,2,9,4,19,4,3,1,2,1,1,1,3,1,2,1,2,1,1,1,9,0,0,2,3,1,2,2,2,1,1,1,3,2,1,3,1,4,1,1,4,1,4,1,1,1,4,2,1,1,1,1,1,1,1,1,1,2,3,3,2,1,1,1,2,101,8,3,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,4,4,3,4,3,4,4,2,1,1,1,4,5,1,3,1,3,1,2,1,2,2,2,10,10,80,0,0,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,5,3,3,5,1,3
1,101,9,3,3,5,1,2,8,4,1,4,4,1,1,1,1,3,0,1,1,1,2,3,2,1,8,0,0,0,2,1,1,1,2,0,1,5,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,1,3,2,1,1,3,2,101,9,3,3,1,1,2,1,3,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,4,1,2,1,2,1,1,1,1,5,30,65,0,0,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6,3,4,3,4,1
1,101,10,3,2,2,2,2,9,4,15,4,10,1,1,1,1,1,3,1,2,1,2,3,1,3,1,0,0,4,3,2,1,1,1,3,1,1,1,1,2,2,4,1,4,1,4,2,4,4,4,4,4,1,4,4,4,4,4,4,4,4,3,1,2,3,3,1,1,2,2,101,10,3,2,1,1,2,1,3,1,1,2,2,1,1,3,2,4,3,3,3,4,4,4,4,4,1,2,1,2,2,1,4,1,2,1,2,2,2,2,2,20,20,60,0,0,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,5,3,1,3
