CARD.,DECK.,BALLOT.,Q.1.,Q.2.,Q.3.,Q.5.,Q.6.,Q.7.,Q.8.,Q.9.,Q.10.,Q.11.,Q.12.,Q.13.,Q.14.,Q.15.,Q.16.,Q.17.,Q.18.,Q.19.,Q.20.,Q.21.,Q.22.,Q.23.,Q.24.,Q.25.,Q.26.,Q.27.,Q.28.,Q.29.,Q.30.,Q.31.,Q.32A.,Q.32B.,Q.32C.,Q.32D.,Q.32E.,Q.32F.,V.32G.,Q.33.,Q.34.,Q.35.,Q.36.,Q.37.,Q.38.,Q.39.,Q.40.,Q.41.,Q.42.,Q.43.,Q.44.,Q.45.,Q.46.,Q.47.,Q.48.,Q.49.,Q.50.,Q.51.,Q.52.,Q.53.,Q.54.,Q.55.,Q.56.,Q.57.,Q.58.,Q.59.,Q.60.,Q.61.,Q.62.,Q.63.,Q.64.,Q.65.,Q.66.,Q.67.,CARD..1,DECK..1,BALLOT..1,Q.68.,Q.69.,Q.70.,Q.71.,Q.72.,Q.73.,Q.74A.,Q.74B.,Q.74C.,Q.74D.,Q.74E.,V.74F.,V.74G.,Q.75.,Q.76.,Q.77.,Q.78.,Q.79.,Q.80A.,Q.80B.,Q.81.,Q.82.,Q.83.,Q.84.,Q.85.,Q.86.,Q.87.,Q.88.,Q.89.,Q.90A.,Q.90B.,Q.91.,Q.92.,Q.94.,Q.95.,Q.97.,V.98.,V.99.,V.100.
1,126,9,2,4,1,5,1,5,1,1,5,3,4,2,2,5,3,4,2,3,2,1,1,1,1,4,2,3,1,1,1,1,1,1,3,3,1,1,5,2,2,1,3,4,1,2,1,1,2,1,3,2,2,3,1,1,1,1,2,3,3,2,1,2,2,3,1,2,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,9,1,2,3,3,2,3,2,3,3,2,2,1,1,3,2,2,1,1,3,6,4,4,3,2,2,2,2,3,2,2,1,1,1,3,0,5,2,4,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,10,3,1,1,4,5,5,1,4,1,2,1,3,2,5,1,1,1,3,1,4,1,1,1,4,1,1,1,1,3,3,0,1,1,3,3,3,8,1,1,1,1,3,1,1,1,3,1,2,0,1,1,1,1,1,1,3,2,2,1,3,1,1,1,1,4,3,1,3,1,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,10,1,1,1,1,1,3,0,33,3,3,3,1,1,2,2,1,2,4,4,2,1,1,2,1,4,1,4,1,0,1,1,2,3,2,0,7,2,4,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,11,2,2,1,4,1,5,1,4,8,4,2,5,2,4,2,2,3,3,1,2,1,1,1,4,1,1,1,1,1,3,2,1,2,0,2,0,7,1,2,1,2,4,1,1,1,3,1,2,1,1,1,1,1,1,2,3,4,3,3,1,3,2,2,1,1,1,1,1,2,1,3,3,2,126,11,2,3,3,2,3,4,2,3,2,2,2,2,6,1,2,2,1,2,4,4,6,3,3,2,2,1,2,2,1,2,0,1,2,2,3,8,2,4,3
1,126,12,5,3,1,5,1,5,1,1,6,4,4,1,2,4,1,1,1,2,3,3,1,1,1,4,1,2,2,3,1,1,2,2,1,2,2,3,7,2,3,3,3,2,1,1,1,2,2,1,2,1,2,1,1,1,1,3,2,3,3,1,2,3,2,2,4,3,2,1,2,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,12,0,0,0,0,0,0,0,0,0,0,8,5,1,2,2,2,2,5,5,6,2,2,3,2,5,2,3,1,2,0,1,0,4,1,0,7,2,4,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,13,2,2,1,4,1,4,1,6,6,4,2,3,2,2,1,1,1,2,1,3,1,1,1,4,1,1,1,1,3,3,1,1,2,0,1,0,4,2,2,1,2,1,1,1,1,3,1,1,2,2,2,1,1,2,1,1,2,3,3,2,4,3,2,1,3,2,2,2,2,2,2,1,2,126,13,2,1,3,2,2,3,2,1,2,2,2,1,6,1,2,2,1,2,4,4,6,3,3,3,2,1,2,2,2,1,1,1,1,3,2,6,2,4,22
1,126,14,3,3,1,5,1,4,1,4,5,3,4,1,2,5,3,0,3,3,2,3,1,1,1,4,1,1,2,3,1,1,3,3,2,3,3,3,9,1,2,2,3,4,1,2,1,2,2,2,3,2,1,1,1,1,1,1,2,2,3,1,3,2,1,2,1,2,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,14,1,2,3,1,2,2,2,31,1,1,4,6,1,2,2,1,3,3,4,6,3,3,8,3,6,4,2,2,2,2,1,3,4,2,0,5,2,4,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,15,0,1,4,4,3,4,1,11,7,2,1,2,2,5,3,3,3,3,1,3,1,1,1,4,1,3,2,2,1,1,0,0,1,0,0,0,1,1,2,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,3,2,3,2,3,2,2,1,1,1,4,3,1,2,2,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,15,1,1,3,1,2,4,3,32,2,1,2,6,5,2,2,1,2,1,3,1,1,1,2,1,2,1,3,3,1,5,1,3,3,1,0,7,2,4,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,16,4,3,2,3,5,5,1,0,8,2,0,1,2,5,2,3,3,3,2,4,1,2,1,2,1,3,2,2,1,3,0,0,1,0,0,0,7,1,2,3,2,2,1,1,2,3,1,2,3,2,1,2,1,1,1,2,2,2,3,2,2,2,1,2,1,1,2,3,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,16,1,1,2,1,2,1,3,11,1,2,2,6,2,2,2,2,2,4,5,3,2,1,1,2,1,1,1,1,2,0,2,2,2,3,0,5,2,4,0,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,17,2,2,1,4,1,5,1,11,3,1,4,2,2,5,2,1,1,2,2,2,1,1,2,3,2,2,2,2,3,3,0,1,1,0,0,0,8,2,3,2,2,2,0,2,2,3,2,3,2,2,2,2,2,3,3,2,3,3,3,2,2,2,2,2,4,2,1,2,3,3,2,2,2,126,17,2,2,3,3,2,2,3,3,3,2,2,1,6,3,2,3,2,1,4,4,6,3,2,2,3,6,2,2,1,0,5,2,2,2,3,12,2,4,71
1,126,18,2,3,1,3,0,0,1,2,2,3,1,2,2,1,2,4,0,0,0,0,2,1,0,0,1,3,2,2,3,3,1,1,0,0,2,0,2,3,3,3,3,0,0,0,1,4,1,3,3,3,0,2,2,2,2,3,0,3,4,2,2,0,3,0,0,0,0,2,3,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,18,0,1,3,2,0,0,2,2,2,0,8,2,1,0,3,1,2,4,4,3,3,3,0,0,6,0,4,0,2,0,1,2,4,1,0,1,2,4,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,19,3,1,1,4,1,5,1,0,0,4,2,1,2,1,2,3,1,2,1,3,2,1,1,4,2,1,2,1,1,2,0,0,1,0,2,0,7,3,2,2,3,4,0,2,1,1,2,2,3,2,3,2,1,2,1,1,2,2,5,2,4,1,1,2,2,1,2,1,3,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,19,0,0,0,0,0,0,3,22,2,1,4,6,4,3,2,1,1,4,4,6,5,6,4,3,2,2,3,2,1,2,1,2,2,2,0,3,2,4,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,20,2,1,1,1,1,4,1,1,5,3,2,1,2,2,2,3,2,2,2,3,1,1,1,4,1,2,3,2,1,3,3,2,1,3,3,3,7,3,3,3,3,2,0,2,1,3,2,2,2,1,2,2,2,2,3,3,4,3,3,2,3,2,3,1,3,2,1,1,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,20,1,2,3,3,3,3,1,32,1,2,2,6,1,1,2,1,2,1,3,6,3,2,3,3,2,2,3,2,2,1,1,1,2,2,0,2,2,4,0,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,21,2,1,1,4,1,5,1,4,6,2,4,2,2,1,1,1,1,2,3,3,1,1,1,4,1,1,1,1,1,1,2,1,1,2,1,3,5,2,3,3,2,1,1,3,3,3,3,2,2,2,2,3,1,3,2,2,2,3,3,2,3,3,2,1,3,3,2,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,21,4,3,3,3,3,4,2,22,2,2,8,6,1,2,2,2,2,4,4,6,3,3,4,2,2,1,2,1,1,2,2,2,2,1,0,1,2,4,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,22,2,3,1,4,1,5,1,4,1,2,3,2,2,1,2,1,2,2,3,3,1,1,1,4,1,1,2,1,1,1,2,2,1,1,3,0,8,3,2,3,2,5,1,2,2,2,2,2,3,3,3,3,2,2,3,3,4,3,3,1,3,2,3,2,4,2,3,2,2,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,22,3,2,3,3,2,4,3,33,2,3,1,6,1,3,2,1,2,4,4,3,2,2,3,2,2,2,2,2,2,1,2,2,4,2,1,2,2,4,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,23,4,2,4,3,1,4,1,5,3,1,4,1,2,4,2,4,1,1,2,4,1,1,1,4,1,1,3,1,1,1,1,1,2,3,2,1,3,2,2,3,2,5,1,2,2,3,3,2,3,2,2,2,2,3,3,3,4,3,2,1,2,3,2,2,4,3,3,2,3,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,23,3,3,3,3,3,4,1,33,2,2,1,6,1,2,2,1,2,4,4,5,2,1,4,2,3,2,2,1,2,1,2,2,4,2,1,2,2,4,0,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,24,0,0,0,0,0,0,1,4,1,2,4,1,2,5,3,1,2,2,3,4,1,1,1,4,1,1,1,1,1,3,0,0,0,0,1,0,1,2,3,2,3,4,1,1,1,3,0,2,2,2,3,2,3,3,3,3,4,3,3,2,3,2,2,2,3,2,2,1,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,24,1,3,3,3,3,2,2,32,3,2,2,1,5,1,3,2,1,1,3,2,1,1,3,3,1,1,3,1,2,1,3,1,2,3,0,2,2,4,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,25,2,1,1,1,5,5,1,7,8,1,3,1,2,1,2,4,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,0,0,1,2,1,1,3,2,2,2,3,3,2,2,2,1,3,3,3,4,3,3,1,4,3,2,1,4,3,2,2,2,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,25,1,2,3,3,2,4,2,22,2,2,1,6,1,2,2,2,2,4,4,6,1,1,1,2,1,2,2,1,2,1,2,1,2,2,1,2,2,4,0,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,26,3,1,5,3,5,5,1,4,6,3,3,1,2,5,3,3,3,3,1,2,1,1,1,4,1,2,3,3,1,3,2,2,3,3,3,3,9,1,1,3,2,2,1,3,3,3,1,2,3,3,2,2,2,2,2,2,2,3,3,2,1,1,1,2,2,2,2,1,3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,26,1,1,3,1,1,2,1,11,1,3,6,6,3,0,3,1,2,2,0,2,1,1,2,1,6,2,2,2,2,0,1,2,3,3,1,2,2,4,0,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,27,4,1,1,5,1,5,1,4,6,1,3,2,2,5,3,0,3,3,2,2,1,1,1,4,1,3,2,2,1,1,3,2,3,3,3,3,2,1,3,2,3,3,1,1,3,3,3,3,3,1,1,1,1,3,3,3,4,3,1,1,3,3,2,1,3,2,3,3,3,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,27,2,3,3,3,2,4,3,23,3,3,8,6,1,2,2,1,2,4,2,6,2,2,2,2,6,2,2,1,2,1,3,1,1,2,0,5,2,4,0,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,28,5,1,1,5,5,4,1,1,6,3,2,1,2,3,2,2,2,3,2,2,4,2,2,2,1,2,2,2,1,3,0,2,1,3,2,3,7,2,2,1,2,2,1,2,1,3,1,2,2,2,2,2,1,1,3,2,3,3,3,2,2,1,1,2,2,2,1,2,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,28,2,2,2,3,2,2,1,11,1,1,4,6,3,1,2,3,2,1,2,2,1,1,3,3,4,2,2,2,1,4,1,3,2,0,0,3,2,4,0,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,29,3,1,4,1,1,5,1,4,6,1,3,2,2,2,2,3,2,3,1,3,1,1,1,4,1,2,2,2,1,3,3,3,1,3,3,3,8,1,3,2,3,2,1,2,1,2,1,2,1,1,1,2,3,3,3,2,1,2,3,2,4,1,1,4,1,1,1,2,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,29,1,1,3,3,1,3,1,31,1,3,3,6,1,3,3,1,2,2,2,6,6,6,3,2,2,2,2,1,2,0,1,1,1,2,0,4,2,4,0,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,30,5,2,4,4,3,5,1,4,1,3,4,1,2,1,1,1,1,2,2,4,1,1,1,4,1,1,1,1,1,3,0,1,1,1,0,0,8,2,2,1,2,2,1,2,1,2,2,1,3,2,3,2,1,1,1,2,2,3,3,1,3,3,2,2,1,3,1,2,2,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,30,1,1,3,3,2,3,2,33,3,3,8,6,1,2,3,1,2,4,4,3,1,2,2,2,2,1,3,2,2,1,1,1,2,2,0,4,2,4,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,31,4,1,0,2,1,4,1,1,2,3,1,1,2,5,2,1,1,3,2,2,2,1,1,2,1,3,2,3,1,3,0,1,1,0,0,0,8,1,1,1,3,2,1,1,3,3,2,3,3,1,1,1,1,1,3,3,4,3,3,1,2,2,2,2,1,1,1,1,3,2,3,3,2,126,31,4,3,3,3,3,3,0,0,0,0,0,2,5,6,1,3,1,2,4,4,0,3,3,3,2,4,2,1,2,2,1,1,1,4,5,7,2,4,39
1,126,32,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,3,2,2,2,3,3,3,4,1,3,0,2,2,3,3,2,2,1,1,1,3,3,2,2,1,2,3,1,1,1,1,3,1,3,1,1,1,1,3,3,3,4,3,3,1,3,2,2,1,1,2,2,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,32,2,1,3,3,3,3,3,33,3,3,8,6,1,2,2,2,2,4,4,6,2,2,3,2,3,2,3,4,2,0,2,3,2,2,0,8,2,4,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,33,3,1,4,1,0,5,1,4,6,2,3,2,2,1,2,2,2,2,2,3,1,1,1,2,1,0,2,2,1,3,2,2,1,3,3,3,7,2,3,3,3,1,1,2,1,3,1,3,3,2,1,2,1,2,3,3,4,3,3,1,4,2,2,1,2,2,2,2,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,33,4,3,3,2,2,4,0,0,1,0,1,5,1,2,2,2,2,4,4,3,3,2,2,2,2,2,2,1,2,0,1,2,2,1,0,3,2,4,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,34,3,1,4,3,5,5,1,2,2,1,3,1,2,1,2,1,2,2,3,3,1,1,1,4,1,3,2,2,1,1,1,1,2,2,1,2,4,1,2,1,2,2,1,2,1,2,2,2,2,3,1,2,1,3,3,3,4,3,1,1,3,2,2,1,2,2,3,1,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,34,4,3,3,3,3,4,2,22,2,3,2,6,1,2,2,1,2,4,4,3,1,5,3,2,2,2,1,1,2,1,2,3,2,1,0,3,2,4,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,35,4,1,4,1,1,4,1,4,6,2,3,1,2,1,3,4,2,2,2,2,1,1,1,4,1,3,2,1,3,3,0,0,1,0,0,0,7,2,3,2,3,1,1,2,1,2,1,2,2,2,2,2,1,2,3,3,4,1,3,2,4,2,2,1,2,1,2,2,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,35,2,2,3,2,3,4,1,22,1,3,5,6,4,3,3,1,2,1,4,2,2,2,3,2,2,2,3,1,2,0,2,2,2,3,0,1,2,4,0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,36,3,2,1,4,1,5,1,4,5,1,2,2,2,1,2,3,2,2,2,4,1,1,1,4,2,0,2,3,1,1,1,1,3,2,1,2,5,2,2,1,3,2,1,3,1,1,2,2,3,1,3,2,1,1,3,3,4,3,3,1,3,2,1,2,3,3,1,1,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,36,1,2,3,2,2,3,1,33,1,3,2,6,2,2,2,1,2,4,4,3,1,1,3,3,6,1,3,1,2,1,1,1,3,1,0,5,2,4,0,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,37,4,1,1,2,1,4,1,4,6,4,3,1,2,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,0,1,1,0,0,0,8,2,2,2,3,2,1,2,2,3,1,2,2,2,3,1,1,2,3,3,4,3,3,1,3,3,2,1,3,2,2,2,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,37,3,2,3,2,2,4,1,33,2,2,1,1,4,2,2,1,2,4,4,5,6,4,7,1,6,4,2,3,2,2,2,1,1,2,0,2,2,4,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,126,38,3,2,1,1,1,5,1,6,5,3,1,1,2,2,2,3,2,3,2,3,2,1,1,3,1,1,3,1,1,3,2,1,1,3,2,2,2,2,3,1,2,1,1,3,1,3,3,2,3,1,1,1,2,3,3,0,0,2,3,1,4,2,2,1,3,3,2,2,2,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,126,38,2,2,3,3,3,2,3,13,2,3,2,6,1,1,2,1,2,4,4,6,4,4,4,3,3,1,1,1,2,1,2,1,2,2,0,5,2,4,0,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
