COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85,COL86,COL87,COL88,COL89,COL90,COL91,COL92,COL93,COL94,COL95,COL96,COL97,COL98,COL99
1,203,11,1,4,4,9,6,1,2,4,1,2,2,1,2,3,1,3,3,3,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,1,2,3,4,4,3,4,3,4,3,1,1,2,2,2,3,3,4,2,1,1,2,2,2,2,3,2,3,,220,3001,1,1,3,4,3,3,2,2,2,3,2,4,2,3,1,3,3,2,2,20,9,11,700
1,203,12,1,4,4,9,7,1,2,3,1,1,2,2,2,2,2,2,1,3,4,2,3,3,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,4,1,3,1,3,4,3,1,1,2,2,2,3,2,4,1,2,1,1,1,3,2,1,1,2,,220,3001,2,1,3,4,1,3,3,2,1,2,2,2,3,3,1,1,2,4,3,20,9,51,704
1,203,13,1,2,4,10,6,1,1,2,1,2,2,2,2,3,2,2,4,3,2,4,4,4,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,1,3,3,1,2,4,3,3,4,4,3,3,0,2,3,3,3,4,3,1,2,3,7,2,1,2,2,2,,220,3001,3,1,3,3,3,3,2,2,1,2,3,2,2,3,1,3,0,0,2,20,9,41,701
1,203,14,1,2,4,7,6,1,2,3,1,1,2,1,2,2,2,1,2,2,1,1,2,2,1,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,4,1,1,2,2,1,1,3,3,3,3,3,1,1,2,2,2,1,2,4,2,2,2,2,4,1,1,3,2,2,,220,3001,4,1,3,2,3,3,2,2,1,2,3,2,2,1,1,3,2,2,2,20,9,81,700
1,203,15,1,4,4,11,5,1,2,3,1,2,1,4,3,2,1,0,5,3,3,2,2,2,1,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,3,2,3,6,1,1,4,4,3,4,1,3,2,1,3,4,2,2,4,3,1,1,3,5,2,3,4,4,5,,220,3001,5,1,3,4,3,3,4,2,3,2,3,3,4,4,4,1,6,3,1,20,9,51,704
1,203,16,1,4,4,9,6,1,0,4,2,1,2,2,3,3,3,1,1,3,1,1,2,2,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,1,1,3,3,2,4,3,1,1,2,3,1,1,1,4,3,1,1,3,2,2,1,2,2,3,,220,3001,6,1,3,2,3,3,3,2,1,4,2,0,2,3,1,3,3,2,1,20,9,41,703
1,203,17,1,2,4,9,5,1,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,0,2,3,4,2,2,2,2,3,3,3,4,3,1,1,3,3,2,1,2,2,2,1,1,2,4,1,5,4,4,5,,220,3001,7,1,3,4,4,4,5,5,5,5,5,0,0,0,4,5,6,0,5,20,9,61,700
1,203,18,1,3,3,10,7,1,2,3,1,2,1,2,3,2,2,2,2,3,1,2,1,2,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,4,2,0,4,3,2,1,3,3,3,3,3,2,1,4,1,2,1,2,2,1,2,1,1,2,2,3,3,2,2,,220,3001,8,1,3,3,3,3,2,2,1,1,3,3,2,2,1,3,2,2,2,20,9,41,703
1,203,19,1,4,4,9,7,1,2,1,2,1,1,3,2,3,2,1,1,2,1,2,2,3,1,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,4,2,1,3,1,3,1,3,3,2,4,3,3,1,2,2,3,3,3,4,2,1,2,2,4,2,2,2,1,2,,220,3001,9,1,3,4,3,3,3,4,1,2,2,2,2,1,1,2,3,4,2,20,9,91,700
1,203,20,1,3,3,10,7,2,3,1,1,2,2,1,2,3,3,2,2,3,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,3,3,3,3,2,1,1,2,2,2,3,2,2,1,4,1,1,5,2,2,2,1,1,,220,3002,0,1,3,2,1,3,2,2,1,2,3,1,3,3,1,3,1,2,2,20,9,91,702
