,CARD,DECK,BALLOT,FORM,S227.Q1,S227.Q2,S227.Q3,S227.Q4.1,S227.Q4.2,S227.Q4.3,S227.Q4.4,S227.Q4.5,S227.Q4.6,S227.Q4.7,S227.Q4.8,S227.Q4.9,S227.Q4.10,S227.Q4.11,S227.Q5,S227.Q6.1,S227.Q6.2,S227.Q6.3,S227.Q6.4,S227.Q6.5,S227.Q6.6,S227.Q6.7,S227.Q6.8,S227.Q6.9,S227.Q6.10,S227.Q8.1,S227.Q8.2,S227.Q8.3,S227.Q8.4,S227.Q8.5,S227.Q8.6,S227.Q8.7,S227.Q8.8,S227.Q8.9,S227.Q8.10,S227.Q9,S227.Q10,S227.Q11,S227.Q12,S227.Q13,S227.Q14,S227.Q15,S227.Q16,S227.Q17.1,S227.Q17.2,S227.Q17.3,S227.Q17.4,S227.Q17.5,S227.Q17.6,S227.Q17.7,S227.Q17.8,S227.Q17.9,S227.Q17.10,S227.Q17.11,S227.Q17.12,S227.Q17.13,S227.Q17.14,S227.Q17.15,S227.Q17.16,S227.Q17.17,S227.Q17.18,S227.Q17.19,S227.Q17.20,S227.Q17.21,S227.Q17.22,S227.Q17.23,S227.Q17.24,S227.Q18,CARD..1,DECK..1,BALLOT..1,FORM..1,S227B.Q1,S227B.Q1A,S227B.Q2,S227B.Q2A,S227B.Q3,S227B.Q3A,S227B.Q4,S227B.Q4A,S227B.Q5,S227B.Q5A,S227B.Q6,S227B.Q6A,S227B.Q7,S227B.Q7A,S227B.Q8,S227B.Q8A,S227B.Q9,S227B.Q9A,S227B.Q10,S227B.Q10A,S227B.Q11,S227B.Q11A,S227B.Q12,S227B.Q12A,S227B.Q13,S227B.Q13A,S227B.Q14,S227B.Q14A,S227B.Q15,S227B.Q15A,S227B.Q16,S227B.Q16A,S227B.Q17A,S227B.Q17B,S227B.Q18A,S227B.Q18B.n,S227B.Q19A,S227B.Q19B.n,S227B.Q20A,S227B.Q20B.n,S227B.Q21.n,S227C.Q1,S227C.Q1A,S227C.Q2,S227C.Q2A,S227C.Q3,S227C.Q3A,S227C.Q4,S227C.Q4A,S227C.Q5,S227C.Q5A,S227C.Q6,S227C.Q6A,S227C.Q7,S227C.Q7A,S227C.Q8,S227C.Q8A,S227C.Q9,S227C.Q9A,S227C.Q10,S227C.Q10A,S227C.Q11,S227C.Q11A,S227C.Q12,S227C.Q12A,S227C.Q13,S227C.Q13A,S227C.Q14,S227C.Q14A,S227C.Q15,S227C.Q15A,S227C.Q16A,S227C.Q16B,S227C.Q17A,S227C.Q17B.n,CARD..2,DECK..2,BALLOT..2,FORM..2,S227C.Q18A,S227C.Q18B.n,S227C.Q19A,S227C.Q19B.n,S227C.Q20.n,S227C.V21
113,1.0,227.0,114.0,1.0,7.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,23.0,2.0,227.0,114.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,4.0,1.0,,3.0,,1.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,114.0,1.0,9.0,,9.0,,,10501.0
114,1.0,227.0,115.0,1.0,8.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,21.0,2.0,227.0,115.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,3.0,3.0,2.0,4.0,4.0,,4.0,,3.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,115.0,1.0,9.0,,9.0,,,40206.0
115,1.0,227.0,116.0,1.0,4.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,21.0,2.0,227.0,116.0,1.0,3.0,3.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,4.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,4.0,2.0,3.0,1.0,4.0,4.0,,4.0,,1.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,116.0,1.0,9.0,,9.0,,,10503.0
116,1.0,227.0,117.0,1.0,7.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,18.0,2.0,227.0,117.0,1.0,2.0,3.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,4.0,3.0,,4.0,,2.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,117.0,1.0,9.0,,9.0,,,20407.0
117,1.0,227.0,118.0,1.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,19.0,2.0,227.0,118.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,2.0,0.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,,2.0,,2.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,118.0,1.0,9.0,,9.0,,,10506.0
118,1.0,227.0,119.0,1.0,8.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,2.0,227.0,119.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,3.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,4.0,4.0,,1.0,,2.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,119.0,1.0,9.0,,9.0,,,20129.0
119,1.0,227.0,120.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,227.0,120.0,1.0,2.0,0.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,,3.0,,1.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,120.0,1.0,9.0,,9.0,,,10310.0
120,1.0,227.0,121.0,1.0,5.0,5.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,227.0,121.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,,3.0,,2.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,121.0,1.0,9.0,,9.0,,,40506.0
121,1.0,227.0,122.0,1.0,4.0,5.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,24.0,2.0,227.0,122.0,1.0,0.0,3.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,,4.0,,3.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,122.0,1.0,9.0,,9.0,,,10308.0
122,1.0,227.0,123.0,1.0,8.0,5.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,227.0,123.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,4.0,3.0,2.0,4.0,,4.0,,4.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,123.0,1.0,9.0,,9.0,,,20521.0
123,1.0,227.0,124.0,1.0,5.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,21.0,2.0,227.0,124.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,,1.0,,2.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,124.0,1.0,9.0,,9.0,,,40117.0
124,1.0,227.0,125.0,1.0,7.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,227.0,125.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,2.0,4.0,1.0,4.0,2.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,4.0,,1.0,,0.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,125.0,1.0,9.0,,9.0,,,40311.0
125,1.0,227.0,126.0,1.0,6.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,227.0,126.0,1.0,2.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,3.0,3.0,2.0,,2.0,,1.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,126.0,1.0,9.0,,9.0,,,20506.0
126,1.0,227.0,127.0,1.0,5.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,2.0,227.0,127.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,4.0,0.0,4.0,2.0,,3.0,,1.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,127.0,1.0,9.0,,9.0,,,20110.0
127,1.0,227.0,128.0,1.0,5.0,5.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,2.0,227.0,128.0,1.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,4.0,1.0,,1.0,,1.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,128.0,1.0,9.0,,9.0,,,10217.0
128,1.0,227.0,129.0,1.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,24.0,2.0,227.0,129.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,0.0,1.0,2.0,3.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,,2.0,,4.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,129.0,1.0,9.0,,9.0,,,20510.0
129,1.0,227.0,130.0,1.0,6.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,2.0,227.0,130.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,3.0,,4.0,,2.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,130.0,1.0,9.0,,9.0,,,10312.0
130,1.0,227.0,131.0,1.0,8.0,5.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,2.0,227.0,131.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,3.0,,0.0,,1.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,131.0,1.0,9.0,,9.0,,,10402.0
131,1.0,227.0,132.0,1.0,7.0,5.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,4.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,2.0,227.0,132.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,4.0,1.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,,3.0,,1.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,132.0,1.0,9.0,,9.0,,,10302.0
132,1.0,227.0,133.0,1.0,8.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,18.0,2.0,227.0,133.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,4.0,3.0,,0.0,,3.0,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,3.0,227.0,133.0,1.0,9.0,,9.0,,,40324.0
